url_path,views_total,views_unique
/gitblit-org/gitblit-docker,33,9
/gitblit-org/gitblit-docker/blob/master/Dockerfile,10,3
/gitblit-org/gitblit-docker/blob/master/docker-entrypoint.sh,5,1
/gitblit-org/gitblit-docker/blob/master/hub-readme.md,4,3
/gitblit-org/gitblit-docker/issues,3,2
/gitblit-org/gitblit-docker/blob/master/README.md,1,1
/gitblit-org/gitblit-docker/branches,1,1
/gitblit-org/gitblit-docker/commits/master,1,1
/gitblit-org/gitblit-docker/issues/13,1,1
/gitblit-org/gitblit-docker/releases,1,1
