url_path,views_total,views_unique
/gitblit-org/gitblit-docker,34,9
/gitblit-org/gitblit-docker/blob/master/Dockerfile,10,4
/gitblit-org/gitblit-docker/blob/master/docker-entrypoint.sh,5,1
/gitblit-org/gitblit-docker/search,3,1
/gitblit-org/gitblit-docker/blob/master/hub-readme.md,2,2
/gitblit-org/gitblit-docker/issues,2,2
/gitblit-org/gitblit-docker/blob/master/README.md,1,1
/gitblit-org/gitblit-docker/commits/master,1,1
/gitblit-org/gitblit-docker/issues/13,1,1
/gitblit-org/gitblit-docker/tree/master/generate,1,1
