time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-21 00:00:00+00:00,1.0,1.0,13,2
2023-11-22 00:00:00+00:00,1.0,1.0,1,1
2023-11-23 00:00:00+00:00,,,1,1
2023-11-26 00:00:00+00:00,1.0,1.0,3,2
2023-11-27 00:00:00+00:00,,,8,2
2023-11-28 00:00:00+00:00,,,6,1
2023-11-30 00:00:00+00:00,1.0,1.0,4,1
2023-12-04 00:00:00+00:00,,,1,1
